conversations
"[{'content': 'ما هو عنوان الكتاب الذي يظهر في طبعته الثانية؟', 'role': 'user'}
 {'content': '0.2353', 'role': 'assistant'}]"
"[{'content': 'هل الخط الأحمر والخط الأزرق متعامدان على بعضهما البعض؟ الخيار: أ) نعم ب) لا', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'المطلوب: بالنظر إلى المثلث ABC مع منصفات الزوايا الداخلية OB و OC التي تتقاطع عند النقطة O، إذا كانت الزاوية A = 123°، احسب قياس الزاوية BOC.', 'role': 'user'}
 {'content': '151.5', 'role': 'assistant'}]"
"[{'content': 'كما هو موضح في الشكل، النقاط A، O، وB تقع على خط مستقيم، وDE عمودي على CO. إذا كان ‚à†BOC = 60¬∞، ما هو قياس ‚à†AOE؟', 'role': 'user'}
 {'content': '150', 'role': 'assistant'}]"
"[{'content': 'سؤال: تم وضع مثلثين متساويي الأضلاع بأحجام مختلفة فوق بعضهما البعض بحيث يتكون سداسي الأضلاع في الداخل تكون أضلاعه المتقابلة متوازية. تم ذكر أربعة من أطوال أضلاع السداسي في الرسم البياني. ما هو محيط السداسي؟', 'role': 'user'}
 {'content': 'الإجابة النهائية: 18', 'role': 'assistant'}]"
"[{'content': 'ما هي المسافة بين نقطة تقاطع الخط الأزرق مع المحور السيني ونقطة تقاطعه مع المحور الصادي؟', 'role': 'user'}
 {'content': '√32', 'role': 'assistant'}]"
"[{'content': 'أوجد مساحة الجزء المظلل.', 'role': 'user'}
 {'content': ' π - 2', 'role': 'assistant'}]"
"[{'content': 'هل هذه الدالة دالة دورية؟ الخيار: (أ) نعم (ب) لا', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'أي من الصناديق يأتي بعد ذلك في التسلسل؟ اختر الإجابات من أ-ه', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'إلى أي مجموعة تنتمي الشكل؟ اختر من A، B، وC. الخيارات: A) المجموعة A B) المجموعة B C) لا تنتمي إلى المجموعة A ولا المجموعة B', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'إلى أي مجموعة تنتمي الشكل؟ اختر من A، B، وC. الخيارات: A) المجموعة A B) المجموعة B C) لا تنتمي إلى المجموعة A ولا المجموعة B', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'إلى أي مجموعة تنتمي الشكل؟ اختر من A، B، وC. الخيارات: A) المجموعة A B) المجموعة B C) لا تنتمي إلى المجموعة A ولا المجموعة B', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'إلى أي مجموعة تنتمي الشكل؟ اختر من أ، ب، وج. (أ) المجموعة أ (ب) المجموعة ب (ج) لا تنتمي إلى المجموعة أ ولا المجموعة ب', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هو الرسم البياني الذي يحل محل علامة الاستفهام؟ اختر من A، B، C، وD. الخيارات: A) B) C) D)', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'ما هو الرسم البياني الذي يحل محل علامة الاستفهام؟ اختر من A، B، C، وD.', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هو الرسم البياني الذي يحل محل علامة الاستفهام؟ اختر من A، B، C، وD. الخيارات: A) B) C) D)', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'ما هو الرسم البياني الذي يحل محل علامة الاستفهام؟ اختر من A، B، C، وD. الخيارات: A) B) C) D)', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'أي من الصناديق يأتي بعد ذلك في التسلسل؟ الخيارات: A) A B) B C) C D) D E) E', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'ما هو الرسم البياني الذي يحل محل علامة الاستفهام؟ اختر من A، B، C، وD. الخيارات: A) B) C) D)', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هو الرسم البياني الذي يحل محل علامة الاستفهام؟ اختر من A، ب، C، و D. (A) (ب) (C) (D)', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'هناك سيارتان متطابقتان على جسر. إذا كان للجسر نفس السمك على طوله، أي جزء من الجسر سيخضع لأكبر انحناء؟ اختر من أ، ب، ج، د، ه. الخيارات: أ) تحت الأبراج ب) تحت السيارات ج) منتصف الجسر د) جميع ما سبق سيخضع لنفس الانحناء ه) من المستحيل تحديد ذلك', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هو السؤال: تُستخدم المرايا المحدبة كمرايا للرؤية الخلفية في المركبات. ما هي ميزة استخدام مرآة محدبة بدلاً من مرآة مسطحة؟ اختر من A، B، C، D، وE. (A) توفر انعكاسًا أوضح (B) لديها انعكاس أكثر دقة (C) الزاوية الأوسع للرؤية تقلل النقاط العمياء (D) من الأسهل تنظيف مرآة محدبة (E) لا توفر المرآة المحدبة أي ميزة', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'دلو من الماء به تسرب في جانبه السفلي. ماذا يحدث لسرعة الماء الخارج من الثقب مع انخفاض مستوى الماء؟ اختر من أ،ب،ج،د، ه. الخيارات: أ) تزداد ب) تبقى كما هي ج) تنخفض د) تنعكس ه) من المستحيل تحديد ذلك.', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما تأثير جعل الزنبركات في أبواب الحريق أكثر سمكًا على كيفية إغلاق الباب؟ اختر من A، B، C، D، وE. الخيارات: A) سيغلق الباب ببطء أكثر B) لن يغلق الباب بالكامل C) سيصدر الباب صوت صرير عند الإغلاق D) سيغلق الباب بسرعة أكبر E) لن يحدث فرقًا', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'يستخدم رجال الإطفاء أداة هاليجان للدخول بالقوة إلى الأبواب المغلقة أثناء عمليات الإنقاذ من الحرائق. أي أداة هاليجان ستتطلب أقل جهد لفتح الباب بالقوة؟ اختر من A، B، C، D، وE. (A) A (B) B (C) C (D) D (E) جميعها ستتطلب نفس الجهد', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'في أي اتجاه يدور الترس البرتقالي؟ اختر من A، B، وC. الخيارات: A) مع عقارب الساعة B) عكس عقارب الساعة C) لا يدور', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في أي اتجاه يدور الترس البرتقالي؟ اختر من A، ب، وC. الخيارات: A) مع عقارب الساعة ب) عكس عقارب الساعة C) لا يدور', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في أي اتجاه يدور الترس البرتقالي؟ اختر من A، B، و C. (A) مع عقارب الساعة (B) عكس عقارب الساعة (C) لا يدور', 'role': 'user'}
 {'content': 'ا', 'role': 'assistant'}]"
"[{'content': 'دفع كرة. يُطلب منك دفع كرة وزنها 180 رطلاً إلى منصة تخزين أعلى بـ 15 قدمًا من مكانك الحالي. يمكنك استخدام منحدر طوله 45 قدمًا لدفع الكرة إلى الأعلى. ما مقدار الجهد المطلوب لدفع الكرة إلى أعلى المنصة باستخدام المنحدر؟ الخيارات: A) 30 رطلاً B) 45 رطلاً C) 60 رطلاً D) 90 رطلاً E) 135 رطلاً', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'في أي حالة يكون الوزن الذي يضغط على العمود البرتقالي هو الأعلى؟ الخيارات: أ) الحالة أ ب) الحالة ب ج) متساوي في كلتا الحالتين', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'جهاز يستخدم لتخزين الطاقة الكهربائية يسمى: الخيارات: A) مقاوم B) ديود C) مكثف D) محث', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'هناك أربع دورات في محركات الاحتراق الداخلي: الضغط، العادم، السحب، والتوسع. في المحركات ثنائية الشوط، يتم تنفيذ وظيفتين في شوط واحد. أي من المراحل التالية تحدث في وقت واحد؟ اختر من A، B، C، وD. (A) الضغط والعادم (B) السحب والتوسع (C) الضغط والسحب (D) لا شيء مما سبق', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'أي من الخيارات التالية ينفذ الأوامر المنطقية للتحكم في المستشعرات والمحركات؟ اختر من A، B، C، وD. (A) المعالج (B) وحدة الإدخال/الإخراج (C) ذاكرة الوصول العشوائي (D) ذاكرة القراءة فقط', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في أي اتجاه تتسارع العربة؟ (إذا كان أي منهما، اختر C.) اختر من A، ب، وC (A) A (ب) ب (C) C', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'أي طائر سيواجه مقاومة أقل أثناء الطيران؟ (إذا كانت متساوية، اختر C.) اختر من A، ب، وC (A) A (ب) ب (C) C', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'أي مخزن حبوب يمكنه استيعاب كمية أكبر من القمح؟ (إذا كانت متساوية، اختر ج.) الخيارات: A) A B) B C) C', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'أي من الرسوم البيانية الثلاثة التالية صحيح؟ الخيارات: A) A  B) B C) C', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'في أي اتجاه ستدور العجلة؟ (إذا كان كلاهما، اختر C.) الخيارات: A) A B) B C) C', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'السؤال: يوضح المخطط التالي صناديق مكدسة في كومة. كل صندوق له نفس الحجم ويجب وضعه إما على الأرض أو على صندوق آخر. تم تمييز أحد الصناديق بعلامة X حمراء. يلامس الصندوق صندوقًا آخر إذا كان لهما وجه أو حافة متجاورة واحدة على الأقل (لا يشمل الرؤوس). كم عدد الصناديق الأخرى التي تلامس الصندوق المميز؟ اختر من A، B، C، D، وE (A) 4 (B) 5 (C) 6 (D) 7 (E) 8', 'role': 'user'}
 {'content': 'الإجابة النهائية: د', 'role': 'assistant'}]"
"[{'content': 'أي من الخيارات الأربعة الممكنة يمثل المكعب في شكله المطوي؟ الخيارات: أ) 1 ب) 2 ج) 3 د) 4', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'أي العجلات تدور عكس اتجاه عقارب الساعة؟ اختر من A، B، C، وD. الخيارات: A) C وE B) A، B، D، F C) الكل D) F وD', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'ما الذي يرمز إليه LED؟ اختر من A، ب، C، وD. (A) عرض الطاقة المنخفضة (ب) عرض انبعاث الضوء (C) صمام ثنائي باعث للضوء (D) كاشف انبعاث الضوء', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'عند تجميع القطع الثلاث العلوية من اللغز بشكل صحيح، ستشكل واحدة من الأشكال التالية (1-5). لاحظ أن الجانب المسمى A يجب أن يلامس A وهكذا. اختر من A، B، C، D، وE. الخيارات: A) 1 B) 2 C) 3 D) 4 E) 5', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'أي من الظلال على اليمين في الصورة يمكن أن ينتج عن تسليط الضوء على أحد جوانب الشكل ثلاثي الأبعاد على اليسار؟ اختر من A-D: A) A B) B C) كلاهما D) لا شيء مما سبق', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'كم عدد المثلثات التي ستكون في الشكل السادس؟ الخيارات: أ) 10 ب) 12 ج) 14 د) 16', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'عند تجميع القطع الثلاثة العلوية من اللغز بشكل صحيح، ستشكل واحدة من الأشكال التالية (1-5). لاحظ أن الجانب المسمى A يجب أن يلامس A وهكذا. الخيارات: A) 1 B) 2 C) 3 D) 4 E) 5', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'أي من الصناديق يأتي بعد ذلك في التسلسل؟ اختر من A، B، C، D، وE. (A) A (B) B (C) C (D) D (E) E', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'أي من الصناديق يأتي بعد ذلك في التسلسل؟ اختر من A، B، C، D، و E. الخيارات: A) A B) B C) C D) D E) E', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'ما هو الجواب الصحيح وفقًا للصورة؟ اختر من 1-5', 'role': 'user'}
 {'content': '3', 'role': 'assistant'}]"
"[{'content': 'أي من الصناديق يأتي بعد ذلك في التسلسل؟ اختر من A، B، C، D، وE. (A) A (B) B (C) C (D) D (E) E', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'ما الفرق بين متوسط الهطول في تيرانا والجزائر؟ اختر من A، B، C، وD. (A) 64 (B) 66 (C) 68 (D) 70', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هو نسبة مستوى الهطول في أبريل في الجزائر إلى ستوكهولم في أبسط صورة؟ اختر من A، B، C، وD. (A) 4:1 (B) 3:1 (C) 2:1 (D) 1:1', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هو التغير في قيمة حصة شركة Graff inc في صناعة النسيج من عام 2021 إلى 2022؟ اختر من A، B، C، وD. الخيارات: A) $45k B) $252k C) $435k D) $480k', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هي نسبة الزيادة في تساقط الثلوج في ويسلر من نوفمبر إلى ديسمبر؟ الخيارات: (أ) 30% (ب) 40% (ج) 50% (د) 60%', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'كمية الثلوج التي سقطت في ويسلر وليه أركس في شهري يناير وفبراير معًا؟ اختر من A، B، C، وD. (A) 40 سم (B) 50 سم (C) 60 سم (D) 70 سم', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'إذا كانت الكلاب ذات الشعر الطويل، والبيتبول، والكلاب اللطيفة موجودة، فما الاستنتاج المنطقي الذي يمكن استخلاصه من البيانين التاليين؟ جميع الكلاب اللطيفة هي كلاب ذات شعر طويل بعض البيتبول ليست كلابًا ذات شعر طويل اختر من A، B، C، وD. (A) لا توجد كلاب لطيفة هي كلاب ذات شعر طويل (B) لا توجد كلاب ذات شعر طويل هي بيتبول (C) لا توجد بيتبول هي كلاب ذات شعر طويل (D) لا يوجد أي من الإجابات الأخرى صحيحة', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'إذا كانت الظواهر، الظواهرات، والظواهرين موجودة، فما الاستنتاج المنطقي الذي يمكن استخلاصه من البيانين التاليين؟ بعض الظواهرين هي ظواهر. جميع الظواهر هي ظواهرات. الخيارات: أ) لا توجد ظواهرات هي ظواهر ب) لا توجد ظواهرين هي ظواهر ج) جميع الظواهر هي ظواهرين د) بعض الظواهرات هي ظواهرين', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'إذا كانت الكالوويتس، الكوليويتس، والكيلوويتس موجودة، فما هو الاستنتاج المنطقي الذي يمكن استخلاصه من البيانين التاليين؟ لا توجد كالوويتس هي كيلوويتس جميع الكالوويتس هي كوليويتس اختر من A، B، C، وD. (A) بعض الكالوويتس هي كيلوويتس (B) بعض الكوليويتس ليست كيلوويتس (C) بعض الكوليويتس هي كيلوويتس (D) جميع الكيلوويتس هي كوليويتس', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'إذا كان هناك أشخاص يمكنهم التعامل مع النقد، نساء ورجال، فما الاستنتاج المنطقي الذي يمكن استخلاصه من البيانين التاليين؟ جميع الأشخاص الذين يمكنهم التعامل مع النقد هم رجال. بعض الأشخاص الذين يمكنهم التعامل مع النقد هم نساء. الخيارات: (أ) بعض الأشخاص الذين يمكنهم التعامل مع النقد ليسوا رجالًا (ب) جميع الرجال هم نساء (ج) لا يوجد رجال هم نساء (د) بعض النساء هم رجال', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'إذا كانت الحيتان، حيتان العنبر والدلافين موجودة، ما هو الاستنتاج المنطقي الذي يمكن استخلاصه من العبارتين التاليتين؟ لا توجد دلافين هي حيتان بعض الحيتان هي حيتان العنبر. الخيارات: أ) بعض الدلافين هي حيتان ب) جميع الدلافين هي حيتان العنبر ج) بعض حيتان العنبر ليست دلافين د) جميع الدلافين هي حيتان', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'إذا كان سكان نيويورك، الأشخاص السعداء والأشخاص المزعجون موجودين، فما هو الاستنتاج المنطقي الذي يمكن استخلاصه من البيانين التاليين؟ لا يوجد أشخاص مزعجون من سكان نيويورك جميع الأشخاص السعداء من سكان نيويورك. الخيارات: (أ) لا يوجد أي من الإجابات الأخرى صحيحة (ب) لا يوجد أشخاص سعداء مزعجون (ج) بعض الأشخاص المزعجين من سكان نيويورك (د) بعض سكان نيويورك ليسوا سعداء', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'إذا كان اللصوص، السارقون والناهبون موجودين، فما هو الاستنتاج المنطقي الذي يمكن استخلاصه من البيانين التاليين؟ لا يوجد ناهبون هم لصوص. جميع اللصوص هم سارقون. الخيارات: أ) بعض السارقين ليسوا ناهبين ب) بعض السارقين هم ناهبون ج) لا يوجد ناهبون هم سارقون د) بعض اللصوص ليسوا سارقين', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'إذا كانت الأسماك، المستثمرون، وأسماك القرش موجودة، فما الاستنتاج المنطقي الذي يمكن استخلاصه من العبارتين التاليتين؟ لا توجد أسماك قرش هي أسماك جميع الأسماك هي مستثمرون اختر من A، B، C، وD. (A) جميع أسماك القرش هي أسماك (B) بعض أسماك القرش ليست مستثمرين (C) بعض المستثمرين ليسوا أسماك قرش (D) لا توجد أسماك قرش هي مستثمرون', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'إذا كانت الأمتار والبوصات والياردات موجودة، فما الاستنتاج المنطقي الذي يمكن استخلاصه من البيانين التاليين؟ بعض الأمتار هي ياردات جميع الأمتار هي بوصات اختر من A، B، C، وD. (A) لا توجد بوصات هي ياردات (B) بعض البوصات ليست أمتارًا (C) جميع الياردات هي أمتار (D) بعض البوصات هي ياردات', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'إذا كان هناك مصرفيون، وسماسرة، ومحامون، فما الاستنتاج المنطقي الذي يمكن استخلاصه من البيانين التاليين؟ جميع المحامين مصرفيون لا يوجد مصرفيون سماسرة اختر من A، B، C، وD. (A) بعض المحامين سماسرة (B) لا يوجد محامون مصرفيون (C) لا يوجد مصرفيون محامون (D) لا يوجد سماسرة محامون', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'ما هو أفضل مثال على حجة استقرائية من بين الخيارات التالية؟ اختر من A، B، C، وD. (A) ربما لن تتمكن من تحمل تكلفة أي من اللوحات (B) الفن مبالغ في سعره (C) لن تجد لوحة لتأخذها معك إلى المنزل (D) ستجد لوحة يمكنك تحمل تكلفتها إذا واصلت البحث', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هي النسبة التقريبية للرحلات الملغاة في فبراير التي كانت رحلات مطار جاتويك؟ اختر من A، B، C، وD. الخيارات: A) 31% B) 19% C) 25% D) 56%', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هو الجواب الصحيح للسؤال في الصورة؟ اختر من A-D', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هو سعر التذكرة الواحدة لمهندس يريد اختيار أقصر خيار سفر للوصول إلى مانشستر قبل الساعة 13:00؟ كما يتطلب اتصالاً لاسلكيًا طوال رحلته. اختر من A، B، C، وD. (A) 65.00 (B) 49.59 (C) 55.00 (D) 59.49', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هي نسبة التغير في الإيرادات التي حققتها شركة Graff من الربع الأول إلى الربع الرابع؟ اختر من A، B، C، وD. (A) 100% (B) 33% (C) 50% (D) 75%', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هو متوسط الإيرادات الشهرية التي حققتها شركة Moen من يناير إلى يونيو؟ اختر من A، B، C، وD. (A) 8,333 (B) 7,500 (C) 9,167 (D) 27,500', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هي نسبة الزيادة في إيرادات Graff من الربع الثاني إلى الربع الرابع؟ الخيارات: A) 33% B) 17% C) 25% D) 50%', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'عميل خطة رويال الذي يجري 3,120 دقيقة من المكالمات القياسية شهريًا لمدة ثلاثة أشهر يتم تحصيل رسومه بشكل غير صحيح بمعدل 30 بنسًا للدقيقة. كم المبلغ المستحق للاسترداد؟ اختر من A، B، C، وD. الخيارات: A) 505.60 B) 506.60 C) 507.60 D) 508.60', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هي قيمة النفط المنتج في فبراير، بناءً على أسعار النفط في فبراير؟ اختر من A، B، C، وD. الخيارات: A) $1,170,000 B) $1,230,000 C) $1,248,000 D) $1,312,000', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'أي من الصناديق يأتي بعد ذلك في التسلسل؟ اختر من A، B، C، D، و E. (A) A (B) B (C) C (D) D (E) E', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'أي من الصناديق يأتي بعد ذلك في التسلسل؟ اختر من A، B، C، D، و E. (A) A (B) B (C) C (D) D (E) E', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'سؤال: تكلف اثنتان من FruitBars ¬£1.50 دون شراء BarBox. الخيارات: A) صحيح B) خطأ C) معلومات غير كافية', 'role': 'user'}
 {'content': 'الإجابة النهائية: أ', 'role': 'assistant'}]"
"[{'content': 'تبيع FruitBars دائمًا خمس مرات أكثر من BarBoxes. اختر من A، B و C. (A) صحيح (B) خطأ (C) معلومات غير كافية', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'تشارلز لديه طفلان، كل منهما يمتلك على الأقل جهازين. سينتقلون إلى منزل جديد في غضون عام. جميع الخطط غير قابلة للتحويل. أي خطة ستكون الأنسب لأرخص سعر؟ اختر من A، B، C، D، وE. (A) فيريت (B) هير (C) دوج (D) فوكس (E) أول', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'سيمون كتبت نفس عدد المجلات مثل فريدريك. اختر من A، B و C. (A) صحيح (B) خطأ (C) معلومات غير كافية', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'استخدام 5م¬≤ من الخشب سيكلف ¬£1,350 إجمالاً. الخيارات: أ) صحيح ب) خطأ ج) معلومات غير كافية', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'أي خيار من A-E يجب أن يحل محل علامة الاستفهام ليتبع النمط الموجود فوق الخط الفاصل؟ الخيارات: A) A B) B C) C D) D E) E', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ديبرا لديها عقد فوxtrot ولوكاس لديه عقد بيتا. كم من المال تكسب ديبرا أكثر من لوكاس في نهاية العقد؟ الخيارات: أ) 70,000 ب) 100,000 ج) 160,000 د) 190,000 هـ) 220,000', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'تكلفة الفرصة البديلة لكل ساعة لأندريا أكثر من صوفي. الخيارات: أ) صحيح ب) خطأ ج) معلومات غير كافية', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'أي خيار من A-E يجب أن يحل محل علامة الاستفهام ليتبع النمط الموجود فوق الخط الفاصل؟ (اختر من A-E) الخيارات: A) A B) B C) C D) D E) E', 'role': 'user'}
 {'content': 'ه', 'role': 'assistant'}]"
"[{'content': 'المحاسبون دائمًا ينتجون على الأقل ضعف المبلغ الذي ينتجه السكرتيرون. الخيارات: أ) صحيح ب) خطأ ج) معلومات غير كافية', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'سافرت غلوريانا عبر قنوات لانكستر وسيفرن. كم عدد الأميال لكل قفل التي مرت بها أكثر من عدد الجسور؟ اختر من A، B، C، D، وE. (A) 2 (B) 4 (C) 6 (D) 8 (E) 10', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'المملكة المتحدة دولة سلافية. اختر من A، B و C. (A) صحيح (B) خطأ (C) معلومات غير كافية', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'بجانب الدول السلافية، هناك دولة واحدة فقط تحمل الألوان الأحمر، الأزرق والأبيض. اختر من A، B و C. (A) صحيح (B) خطأ (C) معلومات غير كافية', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'باعتبار كل سطر في الحجة صحيحًا، أي بيان لا يمكن أن يكون صحيحًا؟ اختر من A، B، C، D و E. (A) حقوق الطبع والنشر تمنح السيطرة القانونية لمؤلف العمل. (B) إعادة إنتاج عمل محمي بحقوق الطبع والنشر بدون ترخيص غير قانوني. (C) حقوق الطبع والنشر لها قيود واستثناءات لحقوقها القانونية. (D) يمكن الحصول على ترخيص لمواد حقوق الطبع والنشر خارج نطاق الاستخدام العادل القانوني. (E) المحاكاة الساخرة ليست قيدًا على حقوق الطبع والنشر.', 'role': 'user'}
 {'content': 'ه', 'role': 'assistant'}]"
"[{'content': 'السؤال: الكرسي ضعف حجم المقعد. اختر من A، B و C. الخيارات: A) صحيح B) خطأ C) معلومات غير كافية', 'role': 'user'}
 {'content': 'الإجابة النهائية: ج', 'role': 'assistant'}]"
"[{'content': 'السؤال: المكتب بجانب الأريكة. اختر من A، B و C. (A) صحيح (B) خطأ (C) معلومات غير كافية', 'role': 'user'}
 {'content': 'الإجابة النهائية: ج', 'role': 'assistant'}]"
"[{'content': 'ما يتم إنتاجه يحدده الناس. الخيارات: أ) صحيح ب) خطأ ج) معلومات غير كافية', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'أي خيار من A-E يجب أن يحل محل علامة الاستفهام ليتبع النمط الموجود فوق الخط الفاصل؟ (اختر من A-E)', 'role': 'user'}
 {'content': 'و', 'role': 'assistant'}]"
"[{'content': 'الإنتاج يتكون من الناس. اختر من A، B و C. (A) صحيح (B) خطأ (C) معلومات غير كافية', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما مقدار الفرق بين الإيرادات المجمعة من ماكينات القمار والروليت مقارنة بإيرادات الألعاب الطاولة الأخرى بين 2006-2009 (بالملايين ¬£)؟ اختر من A، B، C، D وE. (A) 0.9 (B) 9.0 (C) 9.2 (D) 0.92 (E) لا شيء من هذه الخيارات', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هي السنة أو السنوات التي كانت فيها إيرادات رسوم الدخول أقل من ¬£23 مليون؟ اختر من A، B، C، D وE. (A) 2006  2007  (B) 2007   2008  (C) 2007 (D) 2006 (E) لا شيء من هذه', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
